variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
ret5_all,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
ret5_all,120,btcusdt,90,-0.05651229912538141,15.371970593009886,-0.06052840542823114,15.428482892135268,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
ret5_all,120,ethusdt,90,0.10954968389910831,46.18301987956836,-0.05359824583350994,46.07347019566925,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
ret5_all,300,btcusdt,90,-0.022735974375751172,16.496416593160653,-0.027035987099493324,16.519152567536405,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
ret5_all,300,ethusdt,90,0.19488446970022846,50.04628642916419,0.018358738310461763,49.85140195946396,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
sniper30_bybit300,30,btcusdt,90,-0.13395581871784798,6.977705199964483,-0.14459121180124385,7.11166101868233,1830142.6642622224,True,27681,40162616,110304683481.2332,164712839.7836,110139970641.4496
sniper30_bybit300,30,ethusdt,90,0.037604736675293744,9.702106303469941,0.030675792441816008,9.664501566794648,817234.6276367778,True,18734,70569343,102662756135.1466,73551116.48731,102589205018.6593
sniper30_bybit300,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
sniper30_bybit300,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
sniper30_bybit300,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
sniper30_bybit300,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
sniper30_hybrid,30,btcusdt,90,-0.13395581871784798,6.977705199964483,-0.14459121180124385,7.11166101868233,1830142.6642622224,True,27681,40162616,110304683481.2332,164712839.7836,110139970641.4496
sniper30_hybrid,30,ethusdt,90,0.037604736675293744,9.702106303469941,0.030675792441816008,9.664501566794648,817234.6276367778,True,18734,70569343,102662756135.1466,73551116.48731,102589205018.6593
sniper30_hybrid,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
sniper30_hybrid,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
sniper30_hybrid,300,btcusdt,90,-0.022735974375751172,6.464409317248976,-0.12797238318307658,6.487145291624728,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
sniper30_hybrid,300,ethusdt,90,0.19488446970022846,19.227002842090695,-0.07756452274501595,19.032118372390467,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
sniper30_liq2_300,30,btcusdt,90,-0.13395581871784798,6.977705199964483,-0.14459121180124385,7.11166101868233,1830142.6642622224,True,27681,40162616,110304683481.2332,164712839.7836,110139970641.4496
sniper30_liq2_300,30,ethusdt,90,0.037604736675293744,9.702106303469941,0.030675792441816008,9.664501566794648,817234.6276367778,True,18734,70569343,102662756135.1466,73551116.48731,102589205018.6593
sniper30_liq2_300,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
sniper30_liq2_300,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
sniper30_liq2_300,300,btcusdt,90,-0.022735974375751172,17.754325002043863,-0.06988918473161872,17.777060976419616,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
sniper30_liq2_300,300,ethusdt,90,0.19488446970022846,53.86664872664794,0.14203647263771446,53.67176425694771,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
