strategy,date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
task3_maker_q95_win60,2025-12-27,btcusdt,300,0.3298226179014301,0.5947939795343994,-8.590213803620644,0.2649713616329693,2257770615.0788,2192637893.5552,65132721.523600005,687254,15611
task3_maker_q99_win30,2025-12-27,btcusdt,30,-0.1409882299761708,-0.1081584327941452,-3.114899390853636,0.0328297971820256,2257770615.0788,2233118623.966,24651991.1128,697401,5464
task3_maker_q99_win30,2025-12-27,btcusdt,120,0.0633279195031781,0.0828981069898475,-1.709451810581013,0.0195701874866693,2257770615.0788,2233118623.966,24651991.1128,697401,5464
task3_maker_q99_win30,2025-12-27,btcusdt,300,0.3298226179014301,0.4454545880512718,-10.14478387071672,0.1156319701498417,2257770615.0788,2233118623.966,24651991.1128,697401,5464
task3_maker_q99_win60,2025-12-27,btcusdt,30,-0.1409882299761708,-0.1182407639077212,-1.73710656838093,0.0227474660684495,2257770615.0788,2226045588.6344004,31725026.4444,695355,7510
task3_maker_q99_win60,2025-12-27,btcusdt,120,0.0633279195031781,0.0779566339438999,-0.9631230845718418,0.0146287144407217,2257770615.0788,2226045588.6344004,31725026.4444,695355,7510
task3_maker_q99_win60,2025-12-27,btcusdt,300,0.3298226179014301,0.464459603951296,-9.117232355830163,0.1346369860498659,2257770615.0788,2226045588.6344004,31725026.4444,695355,7510
no_filter,2025-12-27,ethusdt,30,-0.1678836281467627,-0.1678836281467627,,0.0,2514802790.9086,2514802790.9086,0.0,1352404,0
no_filter,2025-12-27,ethusdt,120,0.0834817719259349,0.0834817719259349,,0.0,2514802790.9086,2514802790.9086,0.0,1352404,0
no_filter,2025-12-27,ethusdt,300,0.3880325927972942,0.3880325927972942,,0.0,2514802790.9086,2514802790.9086,0.0,1352404,0
task3_maker_q90_win30,2025-12-27,ethusdt,30,-0.1678836281467627,-0.0671171433509205,-2.4451621450599608,0.1007664847958421,2514802790.9086,2408241377.2210903,106561413.68750998,1306742,45662
task3_maker_q90_win30,2025-12-27,ethusdt,120,0.0834817719259349,0.3079879775674204,-4.990260356291565,0.2245062056414855,2514802790.9086,2408241377.2210903,106561413.68750998,1306742,45662
task3_maker_q90_win30,2025-12-27,ethusdt,300,0.3880325927972942,1.058659780654035,-14.76784875860901,0.6706271878567407,2514802790.9086,2408241377.2210903,106561413.68750998,1306742,45662
task3_maker_q90_win60,2025-12-27,ethusdt,30,-0.1678836281467627,-0.0507122837276234,-2.2711651934020085,0.1171713444191392,2514802790.9086,2382098862.5001497,132703928.40845,1294678,57726
task3_maker_q90_win60,2025-12-27,ethusdt,120,0.0834817719259349,0.3991787874449167,-5.583430357817566,0.3156970155189817,2514802790.9086,2382098862.5001497,132703928.40845,1294678,57726
task3_maker_q90_win60,2025-12-27,ethusdt,300,0.3880325927972942,1.2019581381837596,-14.22231948251818,0.8139255453864653,2514802790.9086,2382098862.5001497,132703928.40845,1294678,57726
task3_maker_q95_win30,2025-12-27,ethusdt,30,-0.1678836281467627,-0.109097991580301,-2.1727423197755806,0.0587856365664616,2514802790.9086,2443165309.1571,71637481.75150001,1318730,33674
task3_maker_q95_win30,2025-12-27,ethusdt,120,0.0834817719259349,0.3357013151614772,-8.518356585012446,0.2522195432355422,2514802790.9086,2443165309.1571,71637481.75150001,1318730,33674
task3_maker_q95_win30,2025-12-27,ethusdt,300,0.3880325927972942,0.8365525328905081,-14.908545836664544,0.4485199400932139,2514802790.9086,2443165309.1571,71637481.75150001,1318730,33674
task3_maker_q95_win60,2025-12-27,ethusdt,30,-0.1678836281467627,-0.069404996464455,-2.3907621687247507,0.0984786316823076,2514802790.9086,2408117641.04931,106685149.85929,1303223,49181
task3_maker_q95_win60,2025-12-27,ethusdt,120,0.0834817719259349,0.4811522074317847,-8.892811482837761,0.3976704355058497,2514802790.9086,2408117641.04931,106685149.85929,1303223,49181
task3_maker_q95_win60,2025-12-27,ethusdt,300,0.3880325927972942,1.1013678747337057,-15.71350804973452,0.7133352819364112,2514802790.9086,2408117641.04931,106685149.85929,1303223,49181
task3_maker_q99_win30,2025-12-27,ethusdt,30,-0.1678836281467627,-0.069797993673378,-8.846552141577416,0.0980856344733846,2514802790.9086,2486698320.4899297,28104470.41867,1339242,13162
task3_maker_q99_win30,2025-12-27,ethusdt,120,0.0834817719259349,0.3322502175511199,-21.92768110400179,0.2487684456251849,2514802790.9086,2486698320.4899297,28104470.41867,1339242,13162
task3_maker_q99_win30,2025-12-27,ethusdt,300,0.3880325927972942,0.6796286081503234,-25.412536172171748,0.2915960153530292,2514802790.9086,2486698320.4899297,28104470.41867,1339242,13162
task3_maker_q99_win60,2025-12-27,ethusdt,30,-0.1678836281467627,-0.0574831318295919,-7.174556902535877,0.1104004963171707,2514802790.9086,2475793011.72114,39009779.18746,1333059,19345
task3_maker_q99_win60,2025-12-27,ethusdt,120,0.0834817719259349,0.4070549238814547,-20.45239833501859,0.3235731519555198,2514802790.9086,2475793011.72114,39009779.18746,1333059,19345
task3_maker_q99_win60,2025-12-27,ethusdt,300,0.3880325927972942,0.7515740289679378,-22.684472965800584,0.3635414361706435,2514802790.9086,2475793011.72114,39009779.18746,1333059,19345
no_filter,2025-12-28,btcusdt,30,0.0396993070851516,0.0396993070851516,,0.0,3026182793.2062,3026182793.2062,0.0,886145,0
no_filter,2025-12-28,btcusdt,120,0.2218047148419065,0.2218047148419065,,0.0,3026182793.2062,3026182793.2062,0.0,886145,0
no_filter,2025-12-28,btcusdt,300,0.3011586734770006,0.3011586734770006,,0.0,3026182793.2062,3026182793.2062,0.0,886145,0
task3_maker_q90_win30,2025-12-28,btcusdt,30,0.0396993070851516,0.1601697496216311,-3.266575230005344,0.1204704425364794,3026182793.2062,2919794491.0532,106388302.153,860438,25707
task3_maker_q90_win30,2025-12-28,btcusdt,120,0.2218047148419065,0.4828054243731884,-6.941280120880555,0.2610007095312819,3026182793.2062,2919794491.0532,106388302.153,860438,25707
task3_maker_q90_win30,2025-12-28,btcusdt,300,0.3011586734770006,0.6697185140151088,-9.813853693944912,0.3685598405381082,3026182793.2062,2919794491.0532,106388302.153,860438,25707
task3_maker_q90_win60,2025-12-28,btcusdt,30,0.0396993070851516,0.1902629138929488,-3.086859994534535,0.1505636068077971,3026182793.2062,2887148338.614,139034454.5922,850964,35181
task3_maker_q90_win60,2025-12-28,btcusdt,120,0.2218047148419065,0.5441629315456067,-6.472190615484457,0.3223582167037002,3026182793.2062,2887148338.614,139034454.5922,850964,35181
task3_maker_q90_win60,2025-12-28,btcusdt,300,0.3011586734770006,0.7568635448861017,-9.161873826244864,0.4557048714091011,3026182793.2062,2887148338.614,139034454.5922,850964,35181
task3_maker_q95_win30,2025-12-28,btcusdt,30,0.0396993070851516,0.105663355532622,-2.9157327255438656,0.0659640484474703,3026182793.2062,2960114239.7874,66068553.4188,871016,15129
task3_maker_q95_win30,2025-12-28,btcusdt,120,0.2218047148419065,0.3878350211712163,-7.216963784996401,0.1660303063293098,3026182793.2062,2960114239.7874,66068553.4188,871016,15129
task3_maker_q95_win30,2025-12-28,btcusdt,300,0.3011586734770006,0.5526623695525301,-10.967132118258323,0.2515036960755294,3026182793.2062,2960114239.7874,66068553.4188,871016,15129
task3_maker_q95_win60,2025-12-28,btcusdt,30,0.0396993070851516,0.129316822968529,-2.8798178493491937,0.0896175158833773,3026182793.2062,2936057553.2058,90125240.0004,863541,22604
task3_maker_q95_win60,2025-12-28,btcusdt,120,0.2218047148419065,0.4426360214060706,-6.972333415820955,0.2208313065641641,3026182793.2062,2936057553.2058,90125240.0004,863541,22604
task3_maker_q95_win60,2025-12-28,btcusdt,300,0.3011586734770006,0.638090959820094,-10.675262407145349,0.3369322863430933,3026182793.2062,2936057553.2058,90125240.0004,863541,22604
task3_maker_q99_win30,2025-12-28,btcusdt,30,0.0396993070851516,0.0784616977412421,-3.613366045110458,0.0387623906560904,3026182793.2062,2994409349.8612,31773443.344999995,878394,7751
task3_maker_q99_win30,2025-12-28,btcusdt,120,0.2218047148419065,0.2752234690284005,-4.812513261246968,0.053418754186494,3026182793.2062,2994409349.8612,31773443.344999995,878394,7751
task3_maker_q99_win30,2025-12-28,btcusdt,300,0.3011586734770006,0.4072554682820028,-9.697670565922952,0.1060967948050021,3026182793.2062,2994409349.8612,31773443.344999995,878394,7751
task3_maker_q99_win60,2025-12-28,btcusdt,30,0.0396993070851516,0.078641943727104,-2.854604483612926,0.0389426366419523,3026182793.2062,2986006306.2157,40176486.9905,875925,10220
