threshold_label,threshold,relation,bin_start_s,bin_end_s,large_liq_count,trade_count,weight_sum,weighted_pnl_sum,avg_markout_bps
q99,196940.36,opposite_direction,140,150,3619,5577275,14784271081.179161,-18941022972.390923,-1.2811604216662016
q99,196940.36,opposite_direction,150,160,3619,5676104,14648571847.127403,646917672.7136676,0.04416250809054322
q99,196940.36,opposite_direction,160,170,3619,5257874,13447181993.706718,24146909392.46108,1.7956854754967868
q99,196940.36,opposite_direction,170,180,3619,5222210,13489062887.441921,37860291205.25677,2.8067399137492366
q99,196940.36,opposite_direction,180,190,3619,5273141,13685634944.468447,44819521636.51067,3.274931840456999
q99,196940.36,opposite_direction,190,200,3619,5096627,13062615975.740961,4439278611.759232,0.33984606299408715
q99,196940.36,opposite_direction,200,210,3619,4969258,12749527367.851616,-26466052762.382317,-2.07584579402664
q99,196940.36,opposite_direction,210,220,3619,5022186,12746602301.855738,-66797368847.88122,-5.240405816862773
q99,196940.36,opposite_direction,220,230,3619,4962872,12888107541.035667,-73182295735.14404,-5.678280965776549
q99,196940.36,opposite_direction,230,240,3619,4763041,11775288933.482191,-48561849720.779686,-4.124047400883518
q99,196940.36,opposite_direction,240,250,3619,4695571,11465900978.414242,-26355418897.84593,-2.298591183323732
q99,196940.36,opposite_direction,250,260,3619,4648693,11286837721.845985,-33446876789.906914,-2.9633523236689725
q99,196940.36,opposite_direction,260,270,3619,4586454,10951273568.312809,-9056072734.709919,-0.8269424262136417
q99,196940.36,opposite_direction,270,280,3619,4603523,10833840905.441435,845181964.850295,0.07801314162051166
q99,196940.36,opposite_direction,280,290,3619,4621259,11361262670.388834,18742273887.247368,1.649664692296558
q99,196940.36,opposite_direction,290,300,3619,4399729,10780940893.021852,11293351432.40079,1.0475292967899121
q99,196940.36,same_direction,0,10,3619,17540127,79539537071.08118,732081475934.9529,9.203994678529774
q99,196940.36,same_direction,10,20,3619,10419247,41239992965.94325,463006245979.1517,11.227117481846099
q99,196940.36,same_direction,20,30,3619,8965170,32637340787.905052,638137743442.935,19.552381659703723
q99,196940.36,same_direction,30,40,3619,7846952,25917749967.90431,471001297673.2666,18.17292389410883
q99,196940.36,same_direction,40,50,3619,7225590,23648296356.182487,363753655111.07196,15.381812272323545
q99,196940.36,same_direction,50,60,3619,6870801,21495681624.14886,115676296543.49243,5.381373736645708
q99,196940.36,same_direction,60,70,3619,6680688,20496599698.282417,95117748604.06657,4.640659914533887
q99,196940.36,same_direction,70,80,3619,6458801,19878757302.22729,17511096941.689766,0.8808949511007791
q99,196940.36,same_direction,80,90,3619,6233135,18612095125.091183,43855836682.810234,2.3563084321274324
q99,196940.36,same_direction,90,100,3619,6018479,17823558900.704224,107175704678.88423,6.013148399596538
q99,196940.36,same_direction,100,110,3619,6126616,17794866492.691666,131871635069.77548,7.410656052066198
q99,196940.36,same_direction,110,120,3619,5901625,16843094585.72997,125845182150.19391,7.471618799600765
q99,196940.36,same_direction,120,130,3619,5660111,15715646219.85483,62898300008.18031,4.002272584166209
q99,196940.36,same_direction,130,140,3619,5650702,16325442864.508718,67339027298.03498,4.124790234293066
q99,196940.36,same_direction,140,150,3619,5465275,15002915066.130703,-5220957174.973892,-0.3479961828725058
q99,196940.36,same_direction,150,160,3619,5279551,14447310857.00348,-15055944433.378859,-1.0421278106631406
q99,196940.36,same_direction,160,170,3619,5175024,13832795201.637001,-23771698998.794544,-1.7185029238328746
q99,196940.36,same_direction,170,180,3619,5376184,14720762859.03896,-47903059746.54226,-3.2541153067436612
q99,196940.36,same_direction,180,190,3619,5312682,15182095973.7239,-23511228084.072865,-1.5486154299620052
q99,196940.36,same_direction,190,200,3619,5164387,14033288736.254364,13276691053.751036,0.9460855044941324
q99,196940.36,same_direction,200,210,3619,5107175,14335528809.370268,59275243225.2944,4.134848739346801
q99,196940.36,same_direction,210,220,3619,4942499,13376517520.548359,121608082137.67961,9.091161578555193
q99,196940.36,same_direction,220,230,3619,4942509,13181818506.81819,115816746945.7629,8.78609782753856
q99,196940.36,same_direction,230,240,3619,4658420,12302701447.649948,69383515579.02058,5.639697579776201
q99,196940.36,same_direction,240,250,3619,4513106,11569507666.655966,38347878988.52253,3.314564464920446
q99,196940.36,same_direction,250,260,3619,4461450,11005841290.551361,41771923008.71012,3.7954320715647416
q99,196940.36,same_direction,260,270,3619,4458779,10802720984.66541,22116874543.54061,2.0473429402588272
q99,196940.36,same_direction,270,280,3619,4454119,10751739463.024412,-2457553125.106893,-0.2285726075821033
q99,196940.36,same_direction,280,290,3619,4641038,12175544448.159237,-38784604379.73577,-3.1854513401739033
q99,196940.36,same_direction,290,300,3619,4443323,11333478886.95656,-30400837747.275017,-2.6823924101771293
